.ModelAssistants.AIBot	AIBot	Frame	VOID	.ModelAssistants.AIBot	VOID
.ModelAssistants.AIBot.Dialog	Dialog	Dialog	.ModelAssistants.BasicObjects.UserInterface.Dialog	.ModelAssistants.BasicObjects.UserInterface.Dialog	.ModelAssistants.BasicObjects.UserInterface.Dialog
.ModelAssistants.AIBot.DialogNavigator	DialogNavigator	Dialog	.ModelAssistants.BasicObjects.UserInterface.Dialog	.ModelAssistants.BasicObjects.UserInterface.Dialog	.ModelAssistants.BasicObjects.UserInterface.Dialog
.ModelAssistants.Assistants	Assistants	Frame	VOID	.ModelAssistants.Assistants	VOID
.ModelAssistants.Assistants.DialogAssistants	DialogAssistants	Dialog	.ModelAssistants.BasicObjects.UserInterface.Dialog	.ModelAssistants.BasicObjects.UserInterface.Dialog	.ModelAssistants.BasicObjects.UserInterface.Dialog
.ModelAssistants.AutoSave	AutoSave	Frame	VOID	.ModelAssistants.AutoSave	VOID
.ModelAssistants.AutoSave.Dialog	Dialog	Dialog	.ModelAssistants.BasicObjects.UserInterface.Dialog	.ModelAssistants.BasicObjects.UserInterface.Dialog	.ModelAssistants.BasicObjects.UserInterface.Dialog
.ModelAssistants.BasicObjects.MaterialFlow.Frame	Frame	Frame	VOID	.ModelAssistants.BasicObjects.MaterialFlow.Frame	VOID
.ModelAssistants.BasicObjects.MaterialFlow.TestRibbonFrame	TestRibbonFrame	Frame	.ModelAssistants.BasicObjects.MaterialFlow.Frame	.ModelAssistants.BasicObjects.MaterialFlow.Frame	VOID
.ModelAssistants.BasicObjects.UserInterface.Dialog	Dialog	Dialog	VOID	.ModelAssistants.BasicObjects.UserInterface.Dialog	VOID
.ModelAssistants.Calculator3D	Calculator3D	Frame	VOID	.ModelAssistants.Calculator3D	VOID
.ModelAssistants.Calculator3D.Dialog	Dialog	Dialog	.ModelAssistants.BasicObjects.UserInterface.Dialog	.ModelAssistants.BasicObjects.UserInterface.Dialog	.ModelAssistants.BasicObjects.UserInterface.Dialog
.ModelAssistants.ClassAssistant	ClassAssistant	Frame	VOID	.ModelAssistants.ClassAssistant	VOID
.ModelAssistants.ClassAssistant.DialogBsc	DialogBsc	Dialog	.ModelAssistants.BasicObjects.UserInterface.Dialog	.ModelAssistants.BasicObjects.UserInterface.Dialog	.ModelAssistants.BasicObjects.UserInterface.Dialog
.ModelAssistants.ClassAssistant.DialogClassAssistant	DialogClassAssistant	Dialog	.ModelAssistants.BasicObjects.UserInterface.Dialog	.ModelAssistants.BasicObjects.UserInterface.Dialog	.ModelAssistants.BasicObjects.UserInterface.Dialog
.ModelAssistants.ClassAssistant.Frame	Frame	Frame	.ModelAssistants.BasicObjects.MaterialFlow.Frame	.ModelAssistants.BasicObjects.MaterialFlow.Frame	.ModelAssistants.BasicObjects.MaterialFlow.Frame
.ModelAssistants.ClassAttrDepulicator	ClassAttrDepulicator	Frame	VOID	.ModelAssistants.ClassAttrDepulicator	VOID
.ModelAssistants.ClassAttrDepulicator.DialogClassAttrDepulicator	DialogClassAttrDepulicator	Dialog	.ModelAssistants.BasicObjects.UserInterface.Dialog	.ModelAssistants.BasicObjects.UserInterface.Dialog	.ModelAssistants.BasicObjects.UserInterface.Dialog
.ModelAssistants.FrameEncrypt	FrameEncrypt	Frame	VOID	.ModelAssistants.FrameEncrypt	VOID
.ModelAssistants.FrameEncrypt.DialogEncrypt	DialogEncrypt	Dialog	.ModelAssistants.BasicObjects.UserInterface.Dialog	.ModelAssistants.BasicObjects.UserInterface.Dialog	.ModelAssistants.BasicObjects.UserInterface.Dialog
.ModelAssistants.FrameReplacer	FrameReplacer	Frame	VOID	.ModelAssistants.FrameReplacer	VOID
.ModelAssistants.FrameReplacer.DialogReplacer	DialogReplacer	Dialog	.ModelAssistants.BasicObjects.UserInterface.Dialog	.ModelAssistants.BasicObjects.UserInterface.Dialog	.ModelAssistants.BasicObjects.UserInterface.Dialog
.ModelAssistants.ModelSyncCopy	ModelSyncCopy	Frame	VOID	.ModelAssistants.ModelSyncCopy	VOID
.ModelAssistants.ModelSyncCopy.DialogModelSyncCopy	DialogModelSyncCopy	Dialog	.ModelAssistants.BasicObjects.UserInterface.Dialog	.ModelAssistants.BasicObjects.UserInterface.Dialog	.ModelAssistants.BasicObjects.UserInterface.Dialog
.ModelAssistants.Namer	Namer	Frame	VOID	.ModelAssistants.Namer	VOID
.ModelAssistants.Namer.DialogNamer	DialogNamer	Dialog	.ModelAssistants.BasicObjects.UserInterface.Dialog	.ModelAssistants.BasicObjects.UserInterface.Dialog	.ModelAssistants.BasicObjects.UserInterface.Dialog
.ModelAssistants.Namer.DialogSortKey	DialogSortKey	Dialog	.ModelAssistants.BasicObjects.UserInterface.Dialog	.ModelAssistants.BasicObjects.UserInterface.Dialog	.ModelAssistants.BasicObjects.UserInterface.Dialog
.ModelAssistants.Namer.Frame	Frame	Frame	.ModelAssistants.BasicObjects.MaterialFlow.Frame	.ModelAssistants.BasicObjects.MaterialFlow.Frame	.ModelAssistants.BasicObjects.MaterialFlow.Frame
.ModelAssistants.QuickArrayTool	QuickArrayTool	Frame	VOID	.ModelAssistants.QuickArrayTool	VOID
.ModelAssistants.QuickArrayTool.DialogArraryTool	DialogArraryTool	Dialog	.ModelAssistants.BasicObjects.UserInterface.Dialog	.ModelAssistants.BasicObjects.UserInterface.Dialog	.ModelAssistants.BasicObjects.UserInterface.Dialog
