.MUs	MUs	Folder	VOID	.MUs	VOID
.MUs.Container	Container	Container	VOID	.MUs.Container	VOID
.MUs.Pallet			VOID	VOID	VOID
.MUs.Transporter	Transporter	Transporter	VOID	.MUs.Transporter	VOID
.MaterialFlow	MaterialFlow	Folder	VOID	.MaterialFlow	VOID
.MaterialFlow.Station	Station	Station	VOID	.MaterialFlow.Station	VOID
.MaterialFlow.Store	Store	Store	VOID	.MaterialFlow.Store	VOID
.P4_CTU	P4_CTU	Folder	VOID	.P4_CTU	VOID
.P4_CTU.AdvancedObject	AdvancedObject	Folder	VOID	.P4_CTU.AdvancedObject	VOID
.P4_CTU.AdvancedObject.Hardware	Hardware	Folder	VOID	.P4_CTU.AdvancedObject.Hardware	VOID
.P4_CTU.AdvancedObject.Hardware.AGV	AGV	Transporter	.P4_CTU.BasicObjects.MUs.Transporter	.P4_CTU.BasicObjects.MUs.Transporter	VOID
.P4_CTU.AdvancedObject.Hardware.AGVPool	AGVPool	AGVPool	.P4_CTU.BasicObjects.Resources.AGVPool	.P4_CTU.BasicObjects.Resources.AGVPool	VOID
.P4_CTU.AdvancedObject.Hardware.CTU	CTU	Folder	VOID	.P4_CTU.AdvancedObject.Hardware.CTU	VOID
.P4_CTU.AdvancedObject.Hardware.CTU.CTU	CTU	Transporter	.P4_CTU.BasicObjects.MUs.Transporter	.P4_CTU.BasicObjects.MUs.Transporter	VOID
.P4_CTU.AdvancedObject.Hardware.CTU.Carrier	Carrier	Container	.P4_CTU.BasicObjects.MUs.Container	.P4_CTU.BasicObjects.MUs.Container	VOID
.P4_CTU.AdvancedObject.Hardware.CTU.Carrier_Box	Carrier_Box	Container	.P4_CTU.AdvancedObject.Hardware.CTU.Carrier	.P4_CTU.BasicObjects.MUs.Container	VOID
.P4_CTU.AdvancedObject.Hardware.CTU.Lifttable	Lifttable	Container	.P4_CTU.BasicObjects.MUs.Container	.P4_CTU.BasicObjects.MUs.Container	VOID
.P4_CTU.AdvancedObject.Hardware.CTU.test	test	Frame	VOID	.P4_CTU.AdvancedObject.Hardware.CTU.test	VOID
